Trial:          667
Mean RMSE:      110.4618 µM
RMSE DA:        31.8320 µM
RMSE AA:        137.3322 µM
RMSE UA:        162.2213 µM
Selected tests: ca
N features:     2
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  120000 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_cott_R2

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         33.1        200.0       154.6       400.0       165.5       
2       5.0         -3.9        200.0       268.6       400.0       232.6       
3       5.0         14.9        200.0       208.8       400.0       197.9       
4       10.0        25.6        0.0         157.1       200.0       173.3       
5       10.0        14.9        0.0         199.1       200.0       195.3       
6       10.0        16.9        0.0         189.8       200.0       190.8       
7       20.0        63.0        200.0       220.4       0.0         151.5       
8       20.0        63.4        200.0       148.5       0.0         153.8       
9       20.0        70.5        200.0       128.7       0.0         141.9       
10      50.0        46.9        100.0       157.5       400.0       167.0       
11      50.0        61.9        100.0       141.5       400.0       138.7       
12      50.0        66.3        100.0       129.6       400.0       130.0       
13      100.0       68.4        400.0       231.5       100.0       148.6       
14      100.0       42.0        400.0       148.7       100.0       158.1       
15      100.0       46.5        400.0       135.2       100.0       146.1       
