Trial:          432
Mean RMSE:      103.8392 µM
RMSE DA:        33.3262 µM
RMSE AA:        109.3723 µM
RMSE UA:        168.8192 µM
Selected tests: cv, ca
N features:     3
Train conds:    [1, 2, 4, 6, 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 21, 22, 23, 24]
Test conds:     [3, 5, 11, 14, 20]
Epoch floor:    100000
Actual epochs:  217600 (extended)
Patience:       100 val-checks

Features:
  ca_Iss
  ca_Q_early
  ca_Q_late_early

Predictions vs targets (test set):
Sample  DA_true     DA_pred     AA_true     AA_pred     UA_true     UA_pred     
--------------------------------------------------------------------------------
1       5.0         19.4        200.0       363.1       400.0       255.0       
2       5.0         31.3        200.0       171.1       400.0       180.9       
3       5.0         32.3        200.0       209.3       400.0       187.8       
4       10.0        17.8        0.0         108.7       200.0       116.0       
5       10.0        9.3         0.0         132.3       200.0       88.0        
6       10.0        9.3         0.0         139.4       200.0       82.6        
7       20.0        69.7        200.0       192.4       0.0         135.5       
8       20.0        48.4        200.0       201.2       0.0         167.7       
9       20.0        34.2        200.0       220.8       0.0         207.5       
10      50.0        57.3        100.0       154.2       400.0       139.8       
11      50.0        41.1        100.0       166.8       400.0       165.8       
12      50.0        34.0        100.0       232.0       400.0       193.7       
13      100.0       46.7        400.0       304.0       100.0       199.7       
14      100.0       36.8        400.0       206.0       100.0       183.4       
15      100.0       34.8        400.0       224.0       100.0       192.3       
